Parcel_ID,Barycenter_0,Barycenter_1,Barycenter_2
125,3.880510727564494e-13,2.6213466180311314e-13,4.363267063387985e-13
126,-1.0951832033849011e-13,-5.141351894486606e-13,5.90413643900927e-15
127,2.5731120937659093e-13,-8.029563546050199e-13,1.2534963669584346e-13
128,1.6825651982799172e-13,-7.749537936167208e-13,1.0699194616689862e-13
129,-1.565088799300914e-13,3.8066966648119084e-13,9.714482865717277e-14
130,-7.457856554538011e-13,-1.7926296612702069e-13,1.1182076589032684e-13
131,-2.6867989314875254e-13,2.0808388435989767e-13,1.5818024612644646e-13
132,1.1607426131376998e-12,1.1153761512278354e-13,1.4474401475374836e-13
133,3.4219738154206423e-13,3.493596523185261e-13,-6.229357437705029e-14
134,2.969121245162872e-13,-1.7777779248717711e-13,4.4181297996322424e-13
135,-1.248281478183344e-12,-3.246117688962971e-13,-2.936846105465124e-13
136,2.034994395216927e-13,-5.076163518431832e-14,-2.045124183962635e-13
137,-5.972348541642228e-13,6.678858795551521e-13,1.5340986094627253e-13
138,8.29913915367797e-14,-2.5989466988763667e-13,3.3521491335292096e-13
139,-2.2093142130567382e-13,1.1587500373797832e-13,-3.3312724712780585e-13
140,4.964325247177233e-14,-6.952553011422313e-13,-7.35393512467197e-14
141,-3.774403012357652e-13,3.7087043942321327e-13,-7.79405455837862e-13
142,-6.476360188874726e-13,-1.503824225639821e-13,2.5211901830315786e-13
143,4.945377440890297e-13,3.7254703026216406e-13,-2.390425224833055e-14
144,-7.35174883933117e-13,1.081402980630766e-13,3.270391365125153e-13
145,-3.1074402310575046e-14,2.905197330268524e-13,-2.806377352726486e-13
